team,season,player,ppg,apg,rpg,fg_pct,minutes
GSW,2020-2021,Alen Smailagić,1.9,0.3,1.1,0.407,5.6
GSW,2020-2021,Andrew Wiggins,18.6,2.4,4.9,0.477,33.3
GSW,2020-2021,Brad Wanamaker,4.7,2.5,1.7,0.353,16.0
GSW,2020-2021,Damion Lee,6.5,1.3,3.2,0.467,18.9
GSW,2020-2021,Draymond Green,7.0,8.9,7.1,0.447,31.5
GSW,2020-2021,Eric Paschall,9.5,1.3,3.2,0.497,17.4
GSW,2020-2021,Gary Payton II,2.5,0.1,1.1,0.769,4.0
GSW,2020-2021,James Wiseman,11.5,0.7,5.8,0.519,21.4
GSW,2020-2021,Jordan Bell,1.0,2.0,5.0,0.0,15.0
GSW,2020-2021,Jordan Poole,12.0,1.9,1.8,0.432,19.4
GSW,2020-2021,Juan Toscano-Anderson,5.7,2.8,4.4,0.579,20.9
GSW,2020-2021,Kelly Oubre Jr.,15.4,1.3,6.0,0.439,30.7
GSW,2020-2021,Kent Bazemore,7.2,1.6,3.4,0.449,19.9
GSW,2020-2021,Kevon Looney,4.1,2.0,5.3,0.548,19.0
GSW,2020-2021,Marquese Chriss,6.5,1.0,6.5,0.357,13.5
GSW,2020-2021,Mychal Mulder,5.6,0.4,1.0,0.449,12.8
GSW,2020-2021,Nico Mannion,4.1,2.3,1.5,0.342,12.1
GSW,2020-2021,Stephen Curry,32.0,5.8,5.5,0.482,34.2
GSW,2020-2021,Team Totals,113.7,27.7,43.0,0.468,240.3
LAL,2020-2021,Alex Caruso,6.4,2.8,2.9,0.436,21.0
LAL,2020-2021,Alfonzo McKinnie,3.1,0.2,1.4,0.516,6.6
LAL,2020-2021,Andre Drummond,11.9,1.4,10.2,0.531,24.8
LAL,2020-2021,Anthony Davis,21.8,3.1,7.9,0.491,32.3
LAL,2020-2021,Ben McLemore,8.0,0.5,1.6,0.39,17.5
LAL,2020-2021,Damian Jones,5.4,0.1,3.3,0.941,14.0
LAL,2020-2021,Dennis Schröder,15.4,5.8,3.5,0.437,32.1
LAL,2020-2021,Devontae Cacok,2.0,0.1,1.6,0.586,4.9
LAL,2020-2021,Jared Dudley,0.5,0.4,1.8,0.222,6.8
LAL,2020-2021,Kentavious Caldwell-Pope,9.7,1.9,2.7,0.431,28.4
LAL,2020-2021,Kostas Antetokounmpo,0.8,0.1,1.3,0.3,3.7
LAL,2020-2021,Kyle Kuzma,12.9,1.9,6.1,0.443,28.7
LAL,2020-2021,LeBron James,25.0,7.8,7.7,0.513,33.4
LAL,2020-2021,Marc Gasol,5.0,2.1,4.1,0.454,19.1
LAL,2020-2021,Markieff Morris,6.7,1.2,4.4,0.405,19.7
LAL,2020-2021,Montrezl Harrell,13.5,1.1,6.2,0.622,22.9
LAL,2020-2021,Quinn Cook,2.1,0.3,0.3,0.462,3.9
LAL,2020-2021,Talen Horton-Tucker,9.0,2.8,2.6,0.458,20.1
LAL,2020-2021,Team Totals,109.5,24.7,44.2,0.472,242.4
LAL,2020-2021,Wesley Matthews,4.8,0.9,1.6,0.353,19.5
GSW,2021-2022,Andre Iguodala,4.0,3.7,3.2,0.38,19.5
GSW,2021-2022,Andrew Wiggins,17.2,2.2,4.5,0.466,31.9
GSW,2021-2022,Chris Chiozza,2.0,1.9,1.1,0.296,10.9
GSW,2021-2022,Damion Lee,7.4,1.0,3.2,0.441,19.9
GSW,2021-2022,Draymond Green,7.5,7.0,7.3,0.525,28.9
GSW,2021-2022,Gary Payton II,7.1,0.9,3.5,0.616,17.6
GSW,2021-2022,Jeff Dowtin Jr.,1.5,0.8,1.8,0.5,7.0
GSW,2021-2022,Jonathan Kuminga,9.3,0.9,3.3,0.513,16.9
GSW,2021-2022,Jordan Poole,18.5,4.0,3.4,0.448,30.0
GSW,2021-2022,Juan Toscano-Anderson,4.1,1.7,2.4,0.489,13.6
GSW,2021-2022,Kevon Looney,6.0,2.0,7.3,0.571,21.1
GSW,2021-2022,Klay Thompson,20.4,2.8,3.9,0.429,29.4
GSW,2021-2022,Moses Moody,4.4,0.4,1.5,0.437,11.7
GSW,2021-2022,Nemanja Bjelica,6.1,2.2,4.1,0.468,16.1
GSW,2021-2022,Otto Porter Jr.,8.2,1.5,5.7,0.464,22.2
GSW,2021-2022,Quinndary Weatherspoon,2.7,0.5,1.3,0.571,6.6
GSW,2021-2022,Stephen Curry,25.5,6.3,5.2,0.437,34.5
GSW,2021-2022,Team Totals,111.0,27.1,45.5,0.469,240.6
LAL,2021-2022,Anthony Davis,23.2,3.1,9.9,0.532,35.1
LAL,2021-2022,Austin Reaves,7.3,1.8,3.2,0.459,23.2
LAL,2021-2022,Avery Bradley,6.4,0.8,2.2,0.423,22.7
LAL,2021-2022,Carmelo Anthony,13.3,1.0,4.2,0.441,26.0
LAL,2021-2022,Chaundee Brown Jr.,1.0,0.0,1.0,0.143,10.5
LAL,2021-2022,D.J. Augustin,5.3,1.6,1.3,0.453,17.8
LAL,2021-2022,Darren Collison,1.3,0.7,1.3,0.286,12.3
LAL,2021-2022,DeAndre Jordan,4.1,0.4,5.4,0.674,12.8
LAL,2021-2022,Dwight Howard,6.2,0.6,5.9,0.612,16.2
LAL,2021-2022,Isaiah Thomas,9.3,1.5,2.0,0.308,25.3
LAL,2021-2022,Jay Huff,0.0,0.3,1.0,0.0,5.0
LAL,2021-2022,Jemerrio Jones,2.0,0.0,1.5,0.667,7.5
LAL,2021-2022,Kent Bazemore,3.4,0.9,1.8,0.324,14.0
LAL,2021-2022,LeBron James,30.3,6.2,8.2,0.524,37.2
LAL,2021-2022,Mac McClung,6.0,1.0,3.0,0.4,22.0
LAL,2021-2022,Malik Monk,13.8,2.9,3.4,0.473,28.1
LAL,2021-2022,Mason Jones,6.8,1.0,2.5,0.467,12.8
LAL,2021-2022,Rajon Rondo,3.1,3.7,2.7,0.324,16.1
LAL,2021-2022,Russell Westbrook,18.5,7.1,7.4,0.444,34.3
LAL,2021-2022,Sekou Doumbouya,7.0,0.0,3.0,0.625,8.0
LAL,2021-2022,Stanley Johnson,6.7,1.7,3.2,0.466,22.8
LAL,2021-2022,Talen Horton-Tucker,10.0,2.7,3.2,0.416,25.2
LAL,2021-2022,Team Totals,112.0,24.0,44.0,0.469,243.7
LAL,2021-2022,Trevor Ariza,4.0,1.1,3.4,0.333,19.3
LAL,2021-2022,Wayne Ellington,6.7,0.7,1.8,0.414,18.8
